fault_index,nid_dip,nid_strike,shear_strike,shear_dip,effective_normal,slip_rate,state_variable,state_normal,vxm,vym,vzm,vxs,vys,vzs,slips,slipd,slipn
0,2,23,1.26484640000000E+07,-3.10280932617188E+03,-2.50015500000000E+07,4.07843842031852E-10,2.02465856000000E+08,2.50015500000000E+07,2.03921907138138E-10,3.74629088628206E-26,-5.00243191325651E-14,-2.03921907138138E-10,-3.74629088628206E-26,5.00243191325651E-14,1.72910153865814E-01,-2.44081911660032E-05,-1.79104597124100E-19
0,2,24,1.26459640000000E+07,-3.34881469726562E+03,-2.50015020000000E+07,4.06424449650444E-10,2.02741728000000E+08,2.50015020000000E+07,2.03212224825222E-10,3.73327745468503E-26,-5.38132228665097E-14,-2.03212224825222E-10,-3.73327745468503E-26,5.38132228665097E-14,1.72581046819687E-01,-2.66005336015951E-05,-1.79104597124100E-19
0,2,25,1.26430920000000E+07,-3.68028833007812E+03,-2.50011620000000E+07,4.04871108861116E-10,2.03050096000000E+08,2.50011620000000E+07,2.02435540552770E-10,3.71904128868491E-26,-5.89271334635807E-14,-2.02435540552770E-10,-3.71904128868491E-26,5.89271334635807E-14,1.72210976481438E-01,-2.95204627036583E-05,-1.79104597124100E-19
0,2,26,1.26396740000000E+07,-4.10240087890625E+03,-2.50004240000000E+07,4.03115235636520E-10,2.03405200000000E+08,2.50004240000000E+07,2.01557603940472E-10,3.70295376474785E-26,-6.54186313410118E-14,-2.01557603940472E-10,-3.70295376474785E-26,6.54186313410118E-14,1.71782806515694E-01,-3.32588933815714E-05,-1.79104597124100E-19
0,2,27,1.26354790000000E+07,-4.62438427734375E+03,-2.49991180000000E+07,4.01076089007191E-10,2.03824592000000E+08,2.49991180000000E+07,2.00538030625808E-10,3.68427316873367E-26,-7.33937311424813E-14,-2.00538030625808E-10,-3.68427316873367E-26,7.33937311424813E-14,1.71275243163109E-01,-3.79521115974057E-05,-1.79104597124100E-19
0,2,28,1.26301860000000E+07,-5.26057177734375E+03,-2.49969500000000E+07,3.98658356326465E-10,2.04329712000000E+08,2.49969500000000E+07,1.99329164285444E-10,3.66212559067080E-26,-8.30221647180919E-14,-1.99329164285444E-10,-3.66212559067080E-26,8.30221647180919E-14,1.70662239193916E-01,-4.37993949162774E-05,-1.79104597124100E-19
0,2,29,1.26233310000000E+07,-6.03424462890625E+03,-2.49934000000000E+07,3.95752930426596E-10,2.04945616000000E+08,2.49934000000000E+07,1.97876437457722E-10,3.63551047143453E-26,-9.45895176963397E-14,-1.97876437457722E-10,-3.63551047143453E-26,9.45895176963397E-14,1.69913530349731E-01,-5.11027392349206E-05,-1.79104597124100E-19
0,2,30,1.26142320000000E+07,-6.98566845703125E+03,-2.49875740000000E+07,3.92243043600971E-10,2.05698672000000E+08,2.49875740000000E+07,1.96121494044910E-10,3.60335822657096E-26,-1.08610623478830E-13,-1.96121494044910E-10,-3.60335822657096E-26,1.08610623478830E-13,1.68998256325722E-01,-6.03327134740539E-05,-1.79104597124100E-19
0,2,31,1.26018670000000E+07,-8.17961816406250E+03,-2.49779300000000E+07,3.88018117636335E-10,2.06610976000000E+08,2.49779300000000E+07,1.94009017184804E-10,3.56465874434283E-26,-1.25927344723706E-13,-1.94009017184804E-10,-3.56465874434283E-26,1.25927344723706E-13,1.67893737554550E-01,-7.21659162081778E-05,-1.79104597124100E-19
0,2,32,1.25850300000000E+07,-9.69497753906250E+03,-2.49625800000000E+07,3.82991860448101E-10,2.07691776000000E+08,2.49625800000000E+07,1.91495860835111E-10,3.51862532088649E-26,-1.47520355848509E-13,-1.91495860835111E-10,-3.51862532088649E-26,1.47520355848509E-13,1.66599273681641E-01,-8.73579265316948E-05,-1.79104597124100E-19
0,2,33,1.25628280000000E+07,-1.15787998046875E+04,-2.49404240000000E+07,3.77052666866717E-10,2.08951616000000E+08,2.49404240000000E+07,1.88526250166632E-10,3.46423490221545E-26,-1.73759254597575E-13,-1.88526250166632E-10,-3.46423490221545E-26,1.73759254597575E-13,1.65117129683495E-01,-1.06279003375676E-04,-1.79104597124100E-19
0,2,34,1.25356580000000E+07,-1.37250712890625E+04,-2.49135400000000E+07,3.69939995303881E-10,2.10440624000000E+08,2.49135400000000E+07,1.84969886629638E-10,3.39908177071760E-26,-2.02520265097858E-13,-1.84969886629638E-10,-3.39908177071760E-26,2.02520265097858E-13,1.63403049111366E-01,-1.27826555399224E-04,-1.79104597124100E-19
0,2,35,1.25052120000000E+07,-1.59181796875000E+04,-2.48881540000000E+07,3.60980773050912E-10,2.12338368000000E+08,2.48881540000000E+07,1.80490247747578E-10,3.31695888529377E-26,-2.29750300815429E-13,-1.80490247747578E-10,-3.31695888529377E-26,2.29750300815429E-13,1.61246255040169E-01,-1.49661413161084E-04,-1.79104597124100E-19
