t,max_slip_rate,moment_density_rate
2.20966080e+06,-7.77089300e+00,6.10903900e+07
2.21466080e+06,-7.77121800e+00,6.12504500e+07
2.22016080e+06,-7.77171900e+00,6.14329600e+07
2.22516080e+06,-7.77235300e+00,6.16035100e+07
2.23066080e+06,-7.77331300e+00,6.17946100e+07
2.23616080e+06,-7.77381200e+00,6.19874700e+07
2.24116080e+06,-7.77284200e+00,6.21624700e+07
2.24666080e+06,-7.77205100e+00,6.23523500e+07
2.25216080e+06,-7.77161400e+00,6.25368800e+07
2.25716080e+06,-7.77159000e+00,6.26976000e+07
2.26266080e+06,-7.77205300e+00,6.28639000e+07
2.26766080e+06,-7.77299700e+00,6.30030800e+07
2.27316080e+06,-7.77470700e+00,6.31402600e+07
2.27866080e+06,-7.77722600e+00,6.32581400e+07
2.28366080e+06,-7.78031500e+00,6.33466000e+07
2.28916080e+06,-7.78469700e+00,6.34216900e+07
2.29466080e+06,-7.79021200e+00,6.34724400e+07
2.29966080e+06,-7.79628900e+00,6.34972300e+07
2.30516080e+06,-7.79874700e+00,6.35016000e+07
2.31016080e+06,-7.79502900e+00,6.34860100e+07
2.31566080e+06,-7.79149000e+00,6.34495800e+07
2.32116080e+06,-7.78852400e+00,6.33960600e+07
2.32616080e+06,-7.78631400e+00,6.33358400e+07
2.33166080e+06,-7.78439800e+00,6.32608800e+07
2.33716080e+06,-7.78299600e+00,6.31812700e+07
2.34216080e+06,-7.78214200e+00,6.31088000e+07
2.34766080e+06,-7.78163000e+00,6.30331900e+07
2.35266080e+06,-7.78152100e+00,6.29717000e+07
2.35816080e+06,-7.78175600e+00,6.29157000e+07
2.36366080e+06,-7.78232000e+00,6.28753200e+07
2.36866080e+06,-7.78308300e+00,6.28547800e+07
2.37416080e+06,-7.78416000e+00,6.28524500e+07
2.37966080e+06,-7.78544500e+00,6.28736100e+07
2.38466080e+06,-7.78676300e+00,6.29148900e+07
2.39016080e+06,-7.78834500e+00,6.29861300e+07
2.39516080e+06,-7.78987600e+00,6.30756000e+07
2.40066080e+06,-7.79159200e+00,6.32024500e+07
2.40616080e+06,-7.78028900e+00,6.33602800e+07
2.41116080e+06,-7.76984100e+00,6.35316400e+07
2.41666080e+06,-7.75815400e+00,6.37518800e+07
2.42216080e+06,-7.74625500e+00,6.40064800e+07
2.42716080e+06,-7.73524900e+00,6.42687700e+07
2.43266080e+06,-7.72293000e+00,6.45923900e+07
2.43766080e+06,-7.71153300e+00,6.49195700e+07
2.44316080e+06,-7.69877700e+00,6.53171000e+07
2.44866080e+06,-7.68578800e+00,6.57555400e+07
2.45366080e+06,-7.67378000e+00,6.61910200e+07
2.45916080e+06,-7.66035700e+00,6.67122500e+07
2.46466080e+06,-7.64671800e+00,6.72794900e+07
2.46966080e+06,-7.63415000e+00,6.78367000e+07
2.47516080e+06,-7.62016800e+00,6.84970800e+07
2.48016080e+06,-7.60735100e+00,6.91420500e+07
2.48566080e+06,-7.59320000e+00,6.99020700e+07
2.49116080e+06,-7.57909100e+00,7.07161400e+07
2.49616080e+06,-7.56642000e+00,7.15034100e+07
2.50166080e+06,-7.55283900e+00,7.24205000e+07
2.50716080e+06,-7.53990300e+00,7.33883300e+07
2.51216080e+06,-7.52902200e+00,7.43074400e+07
2.51766080e+06,-7.51848900e+00,7.53526800e+07
2.52266080e+06,-7.51075100e+00,7.63218700e+07
2.52816080e+06,-7.50499900e+00,7.73891100e+07
2.53366080e+06,-7.50302300e+00,7.84299600e+07
2.53866080e+06,-7.49582600e+00,7.93240000e+07
2.54416080e+06,-7.49055900e+00,8.02143300e+07
2.54966080e+06,-7.48978300e+00,8.09708700e+07
2.55466080e+06,-7.49385400e+00,8.15174900e+07
2.56016080e+06,-7.50434300e+00,8.19494200e+07
2.56516080e+06,-7.50890900e+00,8.21912800e+07
2.57066080e+06,-7.49813900e+00,8.23132500e+07
